Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,700,0,8,8.847254961426318,1.1154559997521574,107.46540799937065,237.0,23.334390370250627,0.0,8,10,11,12,14,16,18,22,110,110,110
POST,/predict,700,0,24,27.596658904282908,2.87398500040581,350.73519999968994,16503.277142857143,23.334390370250627,0.0,24,30,34,37,44,51,93,110,350,350,350
POST,/risk,5856,0,27,30.038478241295323,2.7168589995199,357.32326899960754,4044.124146174863,195.20884286883953,0.0,27,34,39,41,49,55,67,110,350,360,360
,Aggregated,7256,0,25,27.75855406381215,1.1154559997521574,357.32326899960754,4878.801681367145,241.87762360934076,0.0,25,32,37,40,48,54,65,100,350,360,360
